player_id,team,opp,pos,name,fpts,proj_own,smash,opto_pct,value_percent,ceil,floor,min_exposure,max_exposure,rg_value,salary,custom,rg_id,partner_id
1286064,JAX,IND,WR,Brian Thomas Jr.,9.88,3.77,,,,17.2,4.2,0,0,-4.67,5900,,6228100,1286064
1059684,MIN,WAS,QB,Desmond Ridder,,0,,,,,,0,0,-13.75,4000,,3491929,1059684
362,TB,NO,DST,Buccaneers,7.94,3.91,,,,13.6,2.5,0,0,-0.26,3600,,18443,362
1213442,SEA,ATL,WR,Jimmy Holiday,,0,,,,,,0,0,-8.75,3000,,8350232,1213442
1379267,GB,CHI,WR,Matthew Golden,,0,,,,,,0,0,-10.55,3900,,8217102,1379267
1124199,TEN,CLE,TE,David Martin-Robinson,0.15,0.11,,,,3.7,,0,0,-7.60,2500,,6228620,1124199
1228633,TB,NO,RB,Sean Tucker,3.04,0.36,,,,9,-0.1,0,0,-8.71,4500,,4773613,1228633
1056660,JAX,IND,WR,Austin Trammell,5.04,0,,,,10.9,1.2,0,0,-3.71,3000,,2862133,1056660
1164141,SEA,ATL,WR,Courtney Jackson,,0,,,,,,0,0,-8.75,3000,,8238445,1164141
1110681,NYJ,MIA,QB,Justin Fields,,0,,,,,,0,0,-13.75,4000,,2861635,1110681
1067132,CIN,BUF,WR,Charlie Jones,1.34,0.21,,,,5.8,,0,0,-7.41,3000,,4687627,1067132
1286164,LV,DEN,WR,Dont'e Thornton Jr.,,0,,,,,,0,0,-8.75,3000,,8228700,1286164
1289332,LAR,ARI,WR,Konata Mumpfield,1.32,0.22,,,,6.1,,0,0,-7.43,3000,,8228750,1289332
1179244,TB,NO,RB,Michael Wiley,,0,,,,,,0,0,-10.75,4000,,6228646,1179244
341,LV,DEN,DST,Raiders,4.45,2.96,,,,10.6,0.1,0,0,-0.55,2000,,18436,341
352,NYJ,MIA,DST,Jets,5.28,1.74,,,,11.1,0.7,0,0,-0.72,2500,,18435,352
1213872,GB,CHI,WR,Savion Williams,,0,,,,,,0,0,-8.75,3000,,8223085,1213872
363,WAS,MIN,DST,Commanders,7.12,20.62,,,,12.9,2,0,0,0.52,2800,,18445,363
1123364,TEN,CLE,TE,Joel Wilson,,0,,,,,,0,0,-7.75,2500,,4688029,1123364
1123496,ARI,LAR,WR,Simi Fehoko,,0,,,,,,0,0,-8.75,3000,,2862007,1123496
1322431,BUF,CIN,WR,Keon Coleman,6.39,2.57,,,,12.8,1.9,0,0,-4.36,4000,,6227754,1322431
1325830,BAL,PIT,RB,Lucas Scott,,0,,,,,,0,0,-10.75,4000,,-1325830,1325830
1228920,WAS,MIN,TE,Ben Sinnott,0.63,0.23,,,,4.4,,0,0,-7.12,2500,,6228652,1228920
1468632,LV,DEN,TE,Carter Runyon,,0,,,,3.7,,0,0,-7.75,2500,,8274658,1468632
1049246,IND,JAX,RB,Salvon Ahmed,,0,,,,,,0,0,-10.75,4000,,1849808,1049246
1313642,ARI,LAR,RB,Montrell Johnson Jr.,,0,,,,,,0,0,-10.75,4000,,8262446,1313642
1113398,TEN,CLE,WR,Bryce Oliver,,0,,,,,,0,0,-8.75,3000,,6228615,1113398
604390,TEN,CLE,QB,Brandon Allen,,0,,,,,,0,0,-13.75,4000,,35523,604390
1229503,SEA,ATL,TE,AJ Barner,10.33,5.85,,,,16.5,5.1,0,0,1.18,3200,,6228551,1229503
1172050,SEA,ATL,RB,Kenny McIntosh,,0,,,,,,0,0,-10.75,4000,,4688185,1172050
1176792,PIT,BAL,WR,John Rhys Plumlee,,0,,,,,,0,0,-8.75,3000,,6228487,1176792
924381,CIN,BUF,WR,Kendric Pryor,,0,,,,,,0,0,-8.75,3000,,3515312,924381
1218658,PIT,BAL,TE,Darnell Washington,5.74,1.26,,,,10.8,2.2,0,0,-2.21,2600,,4688136,1218658
1109758,DEN,LV,WR,A.T. Perry,,0,,,,,,0,0,-8.75,3000,,4688034,1109758
1229669,PIT,BAL,WR,Roman Wilson,3.67,0.34,,,,9,0.4,0,0,-5.08,3000,,6228488,1229669
912061,MIA,NYJ,WR,Cedrick Wilson Jr.,0.81,0.21,,,,5.4,,0,0,-7.94,3000,,328586,912061
1163273,LAR,ARI,WR,Jordan Whittington,1.41,0.21,,,,6.1,,0,0,-7.34,3000,,6228229,1163273
1229218,MIA,NYJ,TE,Jalin Conyers,,0,,,,,,0,0,-7.75,2500,,8262278,1229218
1378840,JAX,IND,RB,LeQuint Allen Jr.,1.14,0.13,,,,6.3,,0,0,-9.61,4000,,8228649,1378840
1286176,DEN,LV,WR,Troy Franklin,12.97,2.31,,,,20.9,6.1,0,0,-0.78,5500,,6227934,1286176
1059576,MIN,WAS,RB,Ty Chandler,,0,,,,,,0,0,-10.75,4000,,3491547,1059576
1213730,LAR,ARI,TE,Mark Redman,,0,,,,,,0,0,-7.75,2500,,8268477,1213730
1231033,BAL,PIT,WR,LaJohntay Wester,0.12,0.21,,,,4.3,,0,0,-8.63,3000,,8228348,1231033
1067089,CIN,BUF,QB,Sean Clifford,,0,,,,,,0,0,-13.75,4000,,4687752,1067089
1124355,ARI,LAR,TE,Messiah Swinson,,0,,,,,,0,0,-7.75,2500,,6227996,1124355
1123398,GB,CHI,WR,Jayden Reed,7.64,1.92,,,,14.4,2.8,0,0,-3.51,4200,,4687753,1123398
1215974,LV,DEN,RB,Chris Collier,,0,,,,,,0,0,-10.75,4000,,6227725,1215974
1213345,CIN,BUF,RB,Kendall Milton,,0,,,,,,0,0,-10.75,4000,,6228453,1213345
1107536,TB,NO,TE,Devin Culp,0.18,0.26,,,,4,,0,0,-7.57,2500,,6228585,1107536
1118668,TB,NO,WR,Ryan Miller,0.31,0,,,,4.7,,0,0,-8.44,3000,,4744955,1118668
1305866,DEN,LV,WR,Pat Bryant,8.31,5.19,,,,15.1,3.4,0,0,-1.24,3400,,8223043,1305866
1165650,ATL,SEA,WR,Nick Nash,,0,,,,,,0,0,-8.75,3000,,8261766,1165650
946261,MIA,NYJ,TE,Tanner Conner,,0,,,,,,0,0,-7.75,2500,,3515547,946261
1109979,CIN,BUF,WR,Ja'Marr Chase,22.09,15.74,,,,31.5,12.6,0,0,2.94,8200,,2861551,1109979
749185,DEN,LV,TE,Evan Engram,8.37,3.72,,,,14.2,4,0,0,-1.18,3400,,36968,749185
1108208,BAL,PIT,WR,Rashod Bateman,5.8,1,,,,12,1.6,0,0,-3.95,3500,,2861521,1108208
1069763,LAR,ARI,QB,Stetson Bennett IV,,0,,,,,,0,0,-13.75,4000,,-1069763,1069763
1123630,MIA,NYJ,TE,Julian Hill,1.83,0.14,,,,6,,0,0,-5.92,2500,,4744671,1123630
1124851,CIN,BUF,WR,Andrei Iosivas,4.91,1.01,,,,10.8,1,0,0,-7.04,4600,,4687628,1124851
1386002,CLE,TEN,WR,Kaden Davis,,0,,,,,,0,0,-8.75,3000,,3516007,1386002
1122596,NYJ,MIA,TE,Jeremy Ruckert,2.69,0.26,,,,7,0.2,0,0,-5.06,2500,,3491659,1122596
1131198,ATL,SEA,RB,Tyler Allgeier,6.74,0.31,,,,14.2,1.2,0,0,-5.01,4500,,3491931,1131198
338280,CHI,GB,QB,Case Keenum,,0,,,,,,0,0,-13.75,4000,,16877,338280
332,DEN,LV,DST,Broncos,9.08,8.59,,,,15.1,3.9,0,0,0.28,3900,,18423,332
1125632,JAX,IND,QB,Carter Bradley,,0,,,,,,0,0,-13.75,4000,,6228169,1125632
1124664,CLE,TEN,WR,Cedric Tillman,5.13,0.67,,,,11,1.2,0,0,-4.42,3400,,4687650,1124664
343,LAR,ARI,DST,Rams,8.5,3.94,,,,14.5,3,0,0,-0.10,3800,,18442,343
1223301,ARI,LAR,WR,Jalen Brooks,2.58,0,,,,7.6,,0,0,-6.17,3000,,4687678,1223301
365,JAX,IND,DST,Jaguars,5.95,2.93,,,,12,1,0,0,-0.45,2700,,18428,365
1465213,CHI,GB,WR,Jahdae Walker,,0,,,,4.3,,0,0,-8.75,3000,,8268095,1465213
1232057,PIT,BAL,WR,Ke'Shawn Williams,,0,,,,4.3,,0,0,-8.75,3000,,8251126,1232057
1325513,TEN,CLE,WR,Hal Presley III,,0,,,,,,0,0,-8.75,3000,,-1325513,1325513
1107878,JAX,IND,WR,Dyami Brown,2.11,0.25,,,,7.1,,0,0,-6.64,3000,,2862095,1107878
1229846,SEA,ATL,WR,Ricky White III,,0,,,,,,0,0,-8.75,3000,,8228992,1229846
943093,LV,DEN,TE,Ian Thomas,5.16,0.21,,,,10.2,2,0,0,-2.59,2500,,328735,943093
1173032,MIA,NYJ,WR,Tahj Washington,,0,,,,4.3,,0,0,-8.75,3000,,6228259,1173032
836152,CIN,BUF,TE,Mike Gesicki,5.09,1.1,,,,10.2,1.6,0,0,-4.66,3500,,328364,836152
1286662,CIN,BUF,WR,Jordan Moore,,0,,,,,,0,0,-8.75,3000,,8238369,1286662
1176431,ATL,SEA,WR,Casey Washington,,0,,,,4.3,,0,0,-8.75,3000,,6227691,1176431
1178741,ATL,SEA,WR,Drake London,,0,,,,,,0,0,-17.35,7300,,3491928,1178741
913163,BAL,PIT,QB,Tyler Huntley,,0,,,,,,0,0,-13.75,4000,,2184520,913163
838396,JAX,IND,TE,Jordan Akins,,0,,,,,,0,0,-7.75,2500,,328461,838396
1168753,JAX,IND,TE,Patrick Herbert,,0,,,,,,0,0,-7.75,2500,,8262138,1168753
1231431,DEN,LV,TE,Caleb Lohner,,0,,,,,,0,0,-7.75,2500,,8228522,1231431
1131012,BUF,CIN,RB,James Cook III,21.83,17.83,,,,32.8,10.2,0,0,3.48,7800,,3491576,1131012
1286046,LV,DEN,WR,Jack Bech,5.82,1.6,,,,11.8,1.9,0,0,-2.93,3000,,8223208,1286046
1166036,IND,JAX,WR,Ashton Dulin,,0,,,,,,0,0,-8.75,3000,,982346,1166036
915066,BUF,CIN,RB,Reggie Gilliam,0.11,0,,,,4.9,,0,0,-10.64,4000,,1844335,915066
1466721,NO,TB,TE,Mason Pline,,0,,,,,,0,0,-7.75,2500,,6228514,1466721
355,ARI,LAR,DST,Cardinals,4.21,1.06,,,,10.7,0.4,0,0,-1.19,2200,,18415,355
366,BAL,PIT,DST,Ravens,7.38,1.9,,,,13.4,2.1,0,0,-0.62,3500,,18446,366
1213897,TB,NO,WR,Garrett Greene,,0,,,,,,0,0,-8.75,3000,,8245048,1213897
1123026,ATL,SEA,TE,Kyle Pitts Sr.,15.26,13.53,,,,22.1,8.7,0,0,4.11,4200,,2862126,1123026
600191,MIA,NYJ,TE,Darren Waller,8.64,3.75,,,,14.6,4,0,0,-1.71,3800,,21556,600191
746491,ARI,LAR,WR,Zay Jones,,0,,,,,,0,0,-8.75,3000,,36889,746491
749681,WAS,MIN,WR,River Cracraft,,0,,,,,,0,0,-8.75,3000,,37962,749681
1214689,WAS,MIN,WR,Jaylin Lane,1.59,0.23,,,,6,,0,0,-7.76,3300,,8229073,1214689
1215305,CIN,BUF,WR,Mitch Tinsley,0.95,0.4,,,,5.6,,0,0,-9.00,3600,,4688248,1215305
910380,ATL,SEA,QB,Kyle Trask,,0,,,,,,0,0,-13.75,4000,,2862218,910380
1412326,TB,NO,WR,Kameron Johnson,0.17,0.3,,,,4.3,,0,0,-8.58,3000,,6228583,1412326
922040,ATL,SEA,TE,Charlie Woerner,0.86,0.14,,,,4.7,,0,0,-6.89,2500,,1849814,922040
1303569,IND,JAX,RB,DJ Giddens,,0,,,,4.9,,0,0,-10.75,4000,,8228624,1303569
1176432,NYJ,MIA,WR,Isaiah Williams,2.63,0.23,,,,7.7,,0,0,-6.12,3000,,6227963,1176432
1176443,PIT,BAL,RB,Jaylen Warren,14,2.85,,,,23.1,6,0,0,-0.75,6000,,3491433,1176443
1163265,CHI,GB,RB,Roschon Johnson,,0,,,,,,0,0,-10.75,4000,,4687604,1163265
1165333,CLE,TEN,QB,Dillon Gabriel,,0,,,,,,0,0,-13.75,4000,,8222998,1165333
1169832,GB,CHI,WR,Jakobie Keeney-James,,0,,,,,,0,0,-8.75,3000,,8250689,1169832
1059612,BUF,CIN,WR,Joshua Palmer,,0,,,,,,0,0,-9.75,3500,,2862340,1059612
1122653,GB,CHI,WR,Romeo Doubs,10.55,4.36,,,,17.8,4.3,0,0,-2.00,4900,,3491516,1122653
1287587,MIN,WAS,WR,Tai Felton,,0,,,,4.3,,0,0,-8.75,3000,,8223294,1287587
1378821,CHI,GB,TE,Colston Loveland,8.76,4.99,,,,14.7,4.3,0,0,-0.39,3200,,8216973,1378821
1377732,CHI,GB,WR,Luther Burden III,11.41,11.29,,,,19,5.4,0,0,1.06,3800,,8222949,1377732
1166235,ARI,LAR,RB,Sincere McCormick,,0,,,,,,0,0,-10.75,4000,,3516068,1166235
915397,MIN,WAS,RB,C.J. Ham,,0,,,,4.9,,0,0,-10.75,4000,,35471,915397
1122323,DEN,LV,TE,Lucas Krull,,0,,,,,,0,0,-7.75,2500,,3503947,1122323
884080,TEN,CLE,WR,Van Jefferson,4.58,0.64,,,,10.3,1,0,0,-4.37,3100,,1849783,884080
1286179,LAR,ARI,TE,Terrance Ferguson,3.53,0.16,,,,8.1,0.6,0,0,-4.22,2500,,8223257,1286179
323,ATL,SEA,DST,Falcons,4.52,2.71,,,,10.7,0.6,0,0,-1.48,2500,,18416,323
345,MIA,NYJ,DST,Dolphins,6.83,4.49,,,,12.6,1.6,0,0,-0.77,3300,,18430,345
356,PIT,BAL,DST,Steelers,5.81,3.95,,,,12,1.3,0,0,-0.39,2600,,18438,356
1137635,LAR,ARI,WR,Xavier Smith,4.35,0.53,,,,9.8,0.6,0,0,-4.60,3100,,4716168,1137635
1379646,LV,DEN,RB,Ashton Jeanty,19.55,14.38,,,,29.8,9.8,0,0,4.60,6100,,8217222,1379646
1123379,CIN,BUF,RB,Chase Brown,16.38,7.08,,,,26.9,6.8,0,0,0.23,6700,,4687629,1123379
1213414,GB,CHI,RB,MarShawn Lloyd,,0,,,,,,0,0,-10.75,4000,,6228001,1213414
1213799,DEN,LV,WR,Marvin Mims Jr.,5.78,0.59,,,,11.7,1.5,0,0,-4.37,3700,,4687701,1213799
1106846,GB,CHI,WR,Michael Woods II,,0,,,,,,0,0,-8.75,3000,,3491401,1106846
1128527,ARI,LAR,RB,Jermar Jefferson,,0,,,,,,0,0,-10.75,4000,,2861666,1128527
1128538,ATL,SEA,TE,Teagan Quitoriano,0.16,0.13,,,,3.9,,0,0,-7.59,2500,,3491690,1128538
1323007,CLE,TEN,WR,Gage Larvadain,1.23,0.21,,,,5.6,,0,0,-7.52,3000,,8268155,1323007
1164530,SEA,ATL,RB,Zach Charbonnet,9.47,0.97,,,,18,3.1,0,0,-3.48,5100,,4688186,1164530
834195,MIA,NYJ,RB,Jeff Wilson Jr.,,0,,,,,,0,0,-10.75,4000,,329007,834195
1381263,NYJ,MIA,TE,Mason Taylor,8.11,1.38,,,,13.9,3.8,0,0,-1.24,3300,,8223384,1381263
837594,WAS,MIN,RB,Jeremy McNichols,6.04,0.21,,,,12.9,1.3,0,0,-5.11,4200,,37006,837594
1293066,NO,TB,RB,Devin Neal,12.57,4.02,,,,21.1,5.7,0,0,-0.38,5100,,8228834,1293066
1121873,IND,JAX,TE,Will Mallory,,0,,,,3.7,,0,0,-7.75,2500,,4687800,1121873
1287566,WAS,MIN,RB,Donovan Edwards,,0,,,,,,0,0,-10.75,4000,,8251068,1287566
1166335,ATL,SEA,TE,Joshua Simon,,0,,,,,,0,0,-7.75,2500,,8261769,1166335
1069535,MIN,WAS,WR,Justin Jefferson,19.03,9.6,,,,27.8,10.6,0,0,2.48,6900,,1844306,1069535
1287599,MIN,WAS,QB,J.J. McCarthy,18.43,5.47,,,,27.6,10.6,0,0,3.28,4700,,6228291,1287599
1057457,PIT,BAL,TE,Connor Heyward,0.74,0,,,,4.6,0.1,0,0,-7.01,2500,,3491431,1057457
1110697,LV,DEN,RB,Zamir White,,0,,,,4.9,,0,0,-10.75,4000,,3492105,1110697
1135513,BUF,CIN,TE,Dalton Kincaid,,0,,,,,,0,0,-11.35,4300,,4687560,1135513
1287258,MIN,WAS,TE,Gavin Bartholomew,,0,,,,,,0,0,-7.75,2500,,8228791,1287258
742390,ARI,LAR,RB,James Conner,,0,,,,,,0,0,-10.75,4000,,36851,742390
1377766,MIA,NYJ,RB,Ollie Gordon II,4.63,0.2,,,,11.3,0.1,0,0,-6.72,4300,,8228772,1377766
324,BUF,CIN,DST,Bills,5.67,2.87,,,,11.9,1,0,0,-2.13,3400,,18417,324
1113403,WAS,MIN,RB,Chris Rodriguez Jr.,7.58,1.12,,,,15.3,2.4,0,0,-4.57,4700,,4688250,1113403
335,GB,CHI,DST,Packers,7.54,7.08,,,,13.4,2.6,0,0,0.34,3100,,18425,335
1172990,TB,NO,RB,Josh Williams,,0,,,,,,0,0,-10.75,4000,,8245046,1172990
1233127,BUF,CIN,RB,Frank Gore Jr.,,0,,,,,,0,0,-10.75,4000,,6227751,1233127
1225999,LV,DEN,WR,Brenden Rice,,0,,,,,,0,0,-8.75,3000,,6228202,1225999
1228925,DEN,LV,RB,Deuce Vaughn,,0,,,,,,0,0,-10.75,4000,,4687677,1228925
503184,NO,TB,TE,Taysom Hill,4.68,0.28,,,,8.4,3,0,0,-3.47,2700,,36873,503184
606551,WAS,MIN,WR,Chris Moore,,0,,,,,,0,0,-8.75,3000,,35415,606551
1286840,SEA,ATL,TE,Elijah Arroyo,3.14,0.19,,,,7.7,0.3,0,0,-4.61,2500,,8223482,1286840
1447759,GB,CHI,RB,Emanuel Wilson,5.67,0.61,,,,12.6,0.8,0,0,-6.68,4800,,4799359,1447759
1215329,GB,CHI,WR,Will Sheppard,,0,,,,,,0,0,-8.75,3000,,8245045,1215329
605242,LV,DEN,WR,Tyler Lockett,7.06,0.7,,,,13.2,2.9,0,0,-2.69,3500,,21808,605242
911020,IND,JAX,TE,Sean McKeon,,0,,,,,,0,0,-7.75,2500,,1844580,911020
1173485,IND,JAX,RB,Ulysses Bentley IV,,0,,,,,,0,0,-10.75,4000,,8250773,1173485
1063397,IND,JAX,WR,D.J. Montgomery,,0,,,,,,0,0,-8.75,3000,,1001267,1063397
1399910,CLE,TEN,RB,Dylan Sampson,,0,,,,,,0,0,-11.55,4400,,8228474,1399910
1286445,CHI,GB,QB,Caleb Williams,16.24,3.32,,,,25.3,8.3,0,0,-0.71,5600,,6227816,1286445
607047,ARI,LAR,QB,Jacoby Brissett,19.55,9.26,,,,27.9,10.7,0,0,2.40,5700,,35493,607047
1178557,JAX,IND,WR,Joshua Cephus,,0,,,,,,0,0,-8.75,3000,,6228097,1178557
838179,JAX,IND,WR,Tim Patrick,4.03,0.3,,,,9.6,0.4,0,0,-4.92,3100,,36825,838179
1120499,TB,NO,TE,Evan Deckers,,0,,,,,,0,0,-7.75,2500,,-1120499,1120499
877790,CHI,GB,WR,DJ Moore,10.88,3.43,,,,18.3,4.8,0,0,-1.47,4800,,328733,877790
1060890,TB,NO,TE,Tanner Taula,,0,,,,,,0,0,-7.75,2500,,4744954,1060890
919304,SEA,ATL,RB,Velus Jones Jr.,,0,,,,4.9,,0,0,-10.75,4000,,3491460,919304
1225703,NYJ,MIA,WR,Quentin Skinner,,0,,,,,,0,0,-8.75,3000,,8251069,1225703
336,TEN,CLE,DST,Titans,6.84,12.13,,,,12.8,1.9,0,0,0.04,2900,,18444,336
347,MIN,WAS,DST,Vikings,6.09,1.09,,,,11.9,1.3,0,0,-0.91,3000,,18431,347
1213867,NO,TB,RB,Kendre Miller,,0,,,,,,0,0,-10.75,4000,,4688037,1213867
546184,TEN,CLE,QB,Trevor Siemian,,0,,,,,,0,0,-13.75,4000,,21750,546184
1124338,DEN,LV,RB,Tyler Badie,3.58,0.14,,,,9.5,0.7,0,0,-7.17,4000,,3491354,1124338
976251,SEA,ATL,RB,Cam Akers,,0,,,,4.9,,0,0,-10.75,4000,,1849790,976251
1222139,MIN,WAS,WR,Dontae Fleming,,0,,,,,,0,0,-8.75,3000,,8250965,1222139
1161661,IND,JAX,WR,Anthony Gould,0.19,0.21,,,,4.3,,0,0,-8.56,3000,,6228063,1161661
921460,TB,NO,WR,Brandon Johnson,,0,,,,,,0,0,-8.75,3000,,3516008,921460
1321029,LAR,ARI,WR,Tru Edwards,,0,,,,,,0,0,-8.75,3000,,8268481,1321029
1228728,MIN,WAS,WR,Myles Price,0.2,0.21,,,,4.3,,0,0,-8.55,3000,,8268530,1228728
1215308,TEN,CLE,WR,Mason Kinsey,0.2,0.21,,,,4.7,,0,0,-8.55,3000,,1844553,1215308
1272321,CLE,TEN,QB,Shedeur Sanders,11.45,2.21,,,,19.8,4.8,0,0,-3.10,4400,,8228473,1272321
1184233,IND,JAX,WR,Coleman Owen,,0,,,,,,0,0,-8.75,3000,,8250775,1184233
1285895,CLE,TEN,RB,Raheim Sanders,0.37,0,,,,5.4,,0,0,-10.38,4000,,8244748,1285895
1173255,MIA,NYJ,WR,Malik Washington,9.48,1.56,,,,16.5,3.7,0,0,-1.47,4100,,6228260,1173255
604176,LAR,ARI,TE,Tyler Higbee,,0,,,,,,0,0,-7.75,2500,,35670,604176
1173266,NO,TB,RB,Evan Hull,2.63,0.15,,,,8.5,0.3,0,0,-8.12,4000,,4916613,1173266
